Expected value,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
"0","Q","0","(","O",")","U",
"0","O","Ô","Q","0","Ü","D",
"0","Q",")","9","V","Ù","0",
"0","Q","0","O","U","Û","9",
"0","Q","O","0","Ô",")","U",
"0","Q","û","O","0","Û","Ù",
"0","©","@","e","®","°","€",
"0","Q","0","O","U","@","l",
"0","Q","0","O",")","U","1",
"0","Q","O","0","Ù","U","l",
"0","Ç","G","ç","(","g","Q",
"0","Q","O","Ù","0","9",")",
"0","Q","O","0","Ù","Û","û",
"0","°","0","O","6","o","Ô",
"0","Q",")","0","O","9","U",
"0","Q","0","O",")","U","Û",
"0","Q","9",")","O","0","V",
"0","C","c","Ç","Z","ç","—",
"0","Q","9",")","0","O","1",
"0","Q","0","O","Û",")","1",
"0","Q","O","0","Ô","9",")",
"0","O","Ô","Q","0","G","D",
"0","°","6","©","0","o","®",
"0","O","Q","Ô","o","0","©",
"0","O","Q","o","0",",","Ô",
"0","O","Ô","o","Q","0","G",
"0","(","[","{","/","|","l",
"0","Q","C","O","Ù","l","]",
"0","O","Q","Ô","0","o","D",
"0","Q",")","9","0","O","U",
"0","O","Ô","0","Q","o","G",
"0","0","û","Û","Q","O","Ô",
"0","C","c","Ç","(","€","l",
"0","Q","0",")","O","Û","1",
"0","0",")","(","O","/","|",
"0","(","{","[","/","|",",",
"0",")","(","|","0","/","{",
"0","0",")","(","|","O","/",
"0","O","0","(","Q","Ü","U",
"0","0","O","Q",")","1","U",
"0","Q","O","Ù","0",")","Û",
"0","(",")","|","0","/","{",
"0","(","|","/","0","{","1",
"0","(","{","[","/","|","l",
"0","0","O","Q",")","o","U",
"0","Ô","ô","Û","0","O","Ü",
"0","Q","O","0","Û","Ô","Ù",
"0","(","[","{","|","/","f",
"0","0","O","Q",")","U","/",
"0","°",",","®","’","9",".",
"0","(","C","[","/","{"," ",
"0","O","Q","0","Ü","Û","Ô",
"0","Q",")","O","9","0","1",
"0","0","Q","/","O","(",")",
"0","Q","0","9",")","O","U",
"0","Ü","Û","U","V","Ù","O",
"0","G","C","g","Ç","[","(",
"0","Q","O","0",")","9","1",
"0","O","o","©","Q","D","Ô",
