Expected value,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
"5","s","S","5",":",".","=",
"0","Ô","ô","O","0","o","Û",
"4","y","Ÿ","ÿ","Y","4","w",
"1","/","7","-","!",";","”",
"9","q","G","g","a","Q","d",
"2","a","ä","æ","Æ","&","2",
"1","\","1","k","Â","4","A",
"3","3","2",":","a","1","9",
"1","\","|","V","v","t","/",
"4","L","D","C","b","p","P","4","A","a","2","8","£","L","D","C","b","p","P","4","A","a","2","8","£",
"3","3","5","2","4",":","8",
"5","F","r","E","T","7","P","a","e","E","A","q","g","F","r","E","T","7","P","a","e","E","A","q","g",
"3","3",">","2","=",":","5",
"6","P","p","D","o","b","B",
"1","l","!","|","I","]","T",
"7","7","T",",","g","F","J",
"2","3","9","I","2","J","1",
"8","&","g","F","ç",":","s",
"6","6","G","b","0","C","o",
"9",",",";","s","ç","g","9",
"4","M","4","X","ù","d","U",
"0","°","O","o","ô","ê",".",
"9","7","""",";","”","%","Z",
"1","/","7","-",";","!","_",
"1","4","à","d","+","À","&",
"2","2","z","a","è","e","æ",
"4","$","4","+","y","#","ÿ",
"3","3",":",">","2","s","z",
"2","z","2","=","Z","7",">",
"7","7","?","z",",","Z","F",
"3",">","5","B","3","b","D",
"8","P","E","F","&","e","B",
"6","G","C","6","b","L","c",
"9","g","ÿ","q","9","J","G",
"0","0","Û","û","O","Ô","Q",
"5","C","a","N","n","e","u",
"6","6","b","&","é","G","C",
"0","Ô","ô","d","è","û","È",
"7","=",">","+","-","*","z",
"6","b","L","k","e","6","G",
"1","!","|","I","l","1","}",
"8","$","ë","#","8","&","g",
"7","1","7","T","]","l","I",
"9","q","g","G","j","J","ÿ",
"3","3",">","z","2","=","Z",
"9","g","q","G","J","7","T",
"8","$","8","&","®","B","S",
"5","s","S","5","$","“","ç",
"9","9","%","ÿ","à","y","A",
"3","z","3",">","=",":","Z","3","z",":","=","Z",">","z","3",">","=",":","Z","3","z",":","=","Z",">",
"3",")","]","G","J","l","C",
"0","O","o","0","ô","Ô",".",
"7","7","z","Z","2","-","?",
"4","d","J","g","ÿ","4","9",
"9","A","L","D","c","v","_",
"8","8","$","#","g","s","&",
"0","e","«","®","+","*","o",
"9","g","G","q","J","j","ÿ",
"4","4","3","q","y","+","Ÿ",
"1","/","7","!","l","]","y",
"4","Q","q",",","4","a","9",
"4","#","4","H","{","/","J",
"6","6","b","é","G","ô","É",
"0","°","ê","6","ô","Ô","O",
"4","4","y","ÿ","“","%","q",
"5","s","S",",","“"," ","ç","s","S",",","“",".","-","s","S",",","“"," ","ç","s","S",",","“",".","-",
"6","6","é","&","b","É","G",
"1","F","ï","J","!","f","r",
"0","@","e","®","©","œ","æ",")","]",";",",","}","!","@","e","®","©","œ","æ",")","]",";",",","}","!",
"0","8","2","a","o","&","0",
"1","1","L","i","4","I","l",
"7","7","T","?",",","F","Z",
"1","l","I","]","|","'","i",
"6","b","p","h","D","B","o",
"3","3","2","a","s","5","1",
"0","ô","Ô","ê","6","0","â",
"2","z","2","Z","7","?","-",
"1","/","!",";","7","‘","’",
"1",")","}","»","y",",","!",
"7","7",",","g","F","?","Z",
"9","8","S","s","&","g","B",
"0","4","9","6","s",".","5","|","]",";",")",",","!","4","9","6","s",".","5","|","]",";",")",",","!",
"2","a","o","e","è","à",":",
"6","b","6","o","O","B","e",
